Key,Name,Format
file_sig,File Signature,text[4]
reserved,Reserved,unsigned long
guid_1,GUID Data 1,unsigned long
guid_2,GUID Data 2,unsigned short
guid_3,GUID Data 3,unsigned short
guid_4,GUID Data 4,unsigned char[8]
ver_maj,Version Major ,unsigned char
ver_min,Version Minor,unsigned char
sys_id,System Identifier,text[32]
gen_software,Generating Software,text[32]
flight_date,Flight Date Julian,unsigned short
year,Year,unsigned short
header_size,Header Size,unsigned short
offset_point_data,Offset to Point Data,unsigned long
num_vlrs,Number of Variable Length Records,unsigned long
point_record_fmt,Point Data Record Format,unsigned char
point_record_len,Point Data Record Length,unsigned short
num_points,Number of Point Records,unsigned long
num_points_by_return,Number of Points by Return,unsigned long[5]
x_scale,X Scale Factor,double
y_scale,Y Scale Factor,double
z_scale,Z Scale Factor,double
x_offset,X Offset,double
y_offset,Y Offset,double
z_offset,Z Offset,double
max_x,Max X,double
min_x,Min X,double
max_y,Max Y,double
min_y,Min Y,double
max_z,Max Z,double
min_z,Min Z,double
